Date,Open,High,Low,Close,Volume
11/07/2023,"22.96","23.32","22.48","23.12","89,577"
11/06/2023,"23.02","23.02","22.41","22.97","67,271"
11/03/2023,"23.17","23.82","23.06","23.25","102,192"
11/02/2023,"21.59","22.96","21.59","22.93","126,456"
11/01/2023,"21.46","21.46","20.91","21.18","106,631"
10/31/2023,"21.34","21.71","21.25","21.60","100,359"
10/30/2023,"21.48","21.92","21.28","21.45","115,764"
10/27/2023,"21.38","21.47","21.00","21.18","238,332"
10/26/2023,"22.00","22.00","21.34","21.52","80,683"
10/25/2023,"22.07","22.21","21.70","21.85","87,108"
10/24/2023,"22.52","22.52","21.78","22.22","157,107"
10/23/2023,"22.79","22.93","22.23","22.29","80,037"
10/20/2023,"23.07","23.40","22.68","22.80","79,158"
10/19/2023,"23.56","23.70","22.90","23.01","140,128"
10/18/2023,"24.48","24.48","23.37","23.58","104,400"
10/17/2023,"24.58","25.13","24.50","24.68","92,090"
10/16/2023,"24.63","24.80","24.35","24.56","115,083"
10/13/2023,"25.00","25.04","24.17","24.37","118,086"
10/12/2023,"25.77","25.77","24.33","24.85","85,179"
10/11/2023,"25.32","26.02","24.96","25.83","106,946"
10/10/2023,"25.61","26.10","25.03","25.16","85,928"
10/09/2023,"25.19","25.62","25.19","25.41","66,030"
10/06/2023,"24.70","25.68","24.38","25.36","115,469"
10/05/2023,"25.13","25.44","24.63","24.74","119,476"
10/04/2023,"24.47","25.26","24.32","25.20","139,491"
10/03/2023,"27.59","27.59","23.80","23.94","386,004"
10/02/2023,"28.12","28.85","27.77","27.83","73,051"
09/29/2023,"28.86","28.86","28.16","28.25","102,849"
09/28/2023,"28.97","29.14","28.64","28.71","87,329"
09/27/2023,"29.46","29.89","28.70","29.19","94,480"
09/26/2023,"29.49","30.00","29.12","29.18","83,118"
09/25/2023,"30.00","30.35","29.44","29.54","100,818"
09/22/2023,"30.83","30.86","30.09","30.13","102,583"
09/21/2023,"31.13","31.42","30.75","30.85","115,704"
09/20/2023,"31.14","31.71","30.73","31.35","68,194"
09/19/2023,"30.88","31.44","30.81","31.09","101,968"
09/18/2023,"31.62","31.68","30.80","30.90","88,300"
09/15/2023,"31.96","32.09","31.50","31.57","151,189"
09/14/2023,"31.36","32.00","31.36","31.95","43,464"
09/13/2023,"30.86","31.39","30.80","31.31","50,836"
09/12/2023,"30.41","30.91","30.33","30.90","67,366"
09/11/2023,"30.18","30.41","29.95","30.40","48,342"
09/08/2023,"30.02","30.27","29.90","30.02","24,733"
09/07/2023,"30.13","30.13","29.67","30.02","67,841"
09/06/2023,"29.90","30.22","29.90","30.15","39,695"
09/05/2023,"30.70","30.70","29.85","29.90","46,626"
09/01/2023,"30.98","31.47","30.74","30.88","31,950"
08/31/2023,"31.38","31.57","30.77","30.82","53,406"
08/30/2023,"31.42","31.88","31.28","31.32","37,653"
08/29/2023,"30.75","31.74","30.56","31.57","69,435"
08/28/2023,"30.77","31.17","30.68","30.99","57,658"
08/25/2023,"30.71","30.71","30.15","30.40","57,730"
08/24/2023,"30.70","30.89","30.47","30.65","34,304"
08/23/2023,"30.55","31.17","30.48","30.92","35,571"
08/22/2023,"30.56","31.09","30.42","30.64","42,974"
08/21/2023,"30.48","30.84","30.30","30.34","61,077"
08/18/2023,"30.35","30.97","30.35","30.43","71,509"
08/17/2023,"29.95","30.65","29.95","30.50","50,801"
08/16/2023,"30.55","30.75","29.67","29.88","75,006"
08/15/2023,"30.25","30.57","29.95","30.53","32,191"
08/14/2023,"30.26","30.38","30.00","30.34","27,916"
08/11/2023,"31.08","31.32","30.34","30.37","53,129"
08/10/2023,"31.73","31.80","30.72","30.96","42,649"
08/09/2023,"31.12","31.77","31.05","31.55","48,867"
08/08/2023,"31.00","31.17","30.73","31.10","66,901"
08/07/2023,"31.17","31.41","31.00","31.06","45,825"
08/04/2023,"30.71","31.71","30.68","31.12","45,431"
08/03/2023,"31.93","31.93","30.41","31.36","126,746"
08/02/2023,"31.88","32.14","31.77","31.90","77,428"
08/01/2023,"32.29","32.48","32.00","32.30","41,997"
07/31/2023,"32.68","32.81","32.25","32.37","48,667"
07/28/2023,"32.69","32.98","32.40","32.40","64,414"
07/27/2023,"33.53","33.53","32.26","32.51","175,807"
07/26/2023,"33.56","34.11","33.37","33.42","27,369"
07/25/2023,"33.08","33.78","33.08","33.62","48,705"
07/24/2023,"33.45","33.70","33.06","33.28","47,393"
07/21/2023,"34.08","34.24","33.47","33.57","80,646"
07/20/2023,"33.49","34.03","33.28","33.96","158,761"
07/19/2023,"33.67","33.67","33.00","33.38","116,296"
07/18/2023,"33.86","34.19","33.36","33.47","67,545"
07/17/2023,"34.05","34.34","33.58","33.73","65,868"
07/14/2023,"33.77","34.22","33.58","34.02","80,268"
07/13/2023,"33.70","34.01","33.55","33.96","110,274"
07/12/2023,"34.45","34.73","33.50","33.57","74,459"
07/11/2023,"34.01","34.23","33.86","34.19","96,342"
07/10/2023,"33.67","34.16","33.41","33.92","110,579"
07/07/2023,"33.15","34.13","33.15","33.66","191,102"
07/06/2023,"32.00","33.09","31.88","33.05","76,296"
07/05/2023,"33.15","33.34","32.38","32.48","124,677"
07/03/2023,"32.15","33.19","32.15","33.15","77,928"
06/30/2023,"33.48","33.62","31.66","32.47","226,097"
06/29/2023,"33.25","35.59","33.25","33.76","582,792"
06/28/2023,"27.35","28.14","27.20","28.04","99,203"
06/27/2023,"27.45","27.66","27.06","27.33","81,483"
06/26/2023,"26.96","27.89","26.96","27.40","89,139"
06/23/2023,"27.12","27.51","26.76","27.13","192,410"
06/22/2023,"27.29","27.44","26.94","27.44","44,500"
06/21/2023,"27.40","27.55","27.14","27.48","37,194"
06/20/2023,"27.49","27.67","27.22","27.49","39,095"
06/16/2023,"27.75","28.21","27.34","27.66","129,360"
06/15/2023,"27.10","27.65","26.75","27.65","69,713"
06/14/2023,"27.58","28.10","27.20","27.26","77,290"
06/13/2023,"27.92","28.14","27.19","27.47","108,162"
06/12/2023,"27.39","28.04","27.31","27.87","45,039"
06/09/2023,"27.85","27.85","27.31","27.38","39,357"
06/08/2023,"28.31","28.31","27.57","27.88","54,628"
06/07/2023,"27.30","28.44","27.30","28.37","83,490"
06/06/2023,"26.10","27.42","26.10","27.24","66,175"
06/05/2023,"26.54","26.55","25.95","26.12","52,102"
06/02/2023,"25.79","26.82","25.71","26.79","89,681"
06/01/2023,"26.26","26.27","25.44","25.49","56,706"
05/31/2023,"26.55","26.55","25.86","26.16","102,561"
05/30/2023,"26.75","26.93","26.53","26.54","51,256"
05/26/2023,"26.57","27.02","26.52","26.82","49,222"
05/25/2023,"27.49","27.64","26.42","26.49","44,447"
05/24/2023,"27.78","27.78","27.33","27.62","69,144"
05/23/2023,"27.56","27.99","27.37","27.85","72,431"
05/22/2023,"27.43","27.78","27.29","27.64","41,104"
05/19/2023,"28.04","28.31","27.27","27.30","45,855"
05/18/2023,"27.19","27.85","27.19","27.82","57,010"
05/17/2023,"27.33","27.43","26.63","27.22","103,767"
05/16/2023,"28.10","28.10","27.23","27.23","100,370"
05/15/2023,"28.20","28.41","28.02","28.15","94,513"
05/12/2023,"28.06","28.59","27.92","28.15","62,129"
05/11/2023,"27.94","28.26","27.61","28.00","46,189"
05/10/2023,"27.78","28.40","27.39","28.26","85,619"
05/09/2023,"27.02","27.52","26.88","27.50","49,208"
05/08/2023,"27.50","27.84","27.00","27.04","40,963"
05/05/2023,"26.93","27.71","26.59","27.59","146,854"
05/04/2023,"29.17","29.17","26.12","26.74","187,882"
05/03/2023,"29.00","29.36","27.83","28.09","138,729"
05/02/2023,"29.39","29.39","28.47","28.96","132,896"
05/01/2023,"28.80","29.74","28.80","29.69","58,964"
04/28/2023,"28.21","28.77","28.13","28.71","58,311"
04/27/2023,"27.70","28.31","27.70","28.17","50,603"
04/26/2023,"28.04","28.23","27.51","27.62","42,341"
04/25/2023,"28.63","28.63","28.05","28.11","40,734"
04/24/2023,"28.90","29.05","28.66","28.75","31,991"
04/21/2023,"28.46","29.05","28.46","28.89","89,701"
04/20/2023,"28.18","28.59","28.18","28.44","41,407"
04/19/2023,"28.53","28.57","28.16","28.29","47,984"
04/18/2023,"28.41","28.97","28.41","28.62","71,682"
04/17/2023,"28.25","28.51","28.08","28.44","102,816"
04/14/2023,"28.95","29.20","28.12","28.18","60,852"
04/13/2023,"28.73","28.99","28.59","28.91","57,903"
04/12/2023,"29.21","29.21","28.62","28.66","54,209"
04/11/2023,"28.82","29.32","28.65","28.92","57,906"
04/10/2023,"28.57","29.05","28.51","28.73","68,946"
04/06/2023,"28.42","28.68","27.90","28.59","128,103"
04/05/2023,"29.09","29.30","28.29","28.44","110,552"
04/04/2023,"30.24","30.24","28.78","29.09","84,929"
04/03/2023,"30.48","30.89","29.90","30.14","104,353"
03/31/2023,"29.94","30.54","29.84","30.52","130,416"
03/30/2023,"30.00","30.30","29.34","29.66","138,021"
03/29/2023,"30.94","31.08","29.72","29.73","129,657"
03/28/2023,"31.08","31.40","30.40","30.65","241,696"
03/27/2023,"31.15","31.27","30.65","31.10","131,838"
03/24/2023,"30.40","30.87","29.90","30.85","113,127"
03/23/2023,"31.62","31.86","30.37","30.61","88,228"
03/22/2023,"31.85","32.16","31.40","31.45","79,146"
03/21/2023,"31.99","32.59","31.80","31.93","72,582"
03/20/2023,"31.84","32.20","31.34","31.58","84,661"
03/17/2023,"32.13","32.32","31.34","31.65","140,169"
03/16/2023,"31.39","32.56","31.03","32.21","78,567"
03/15/2023,"31.30","31.84","31.02","31.82","119,179"
03/14/2023,"32.18","32.76","31.56","31.89","79,594"
03/13/2023,"31.73","32.07","31.03","31.40","103,447"
03/10/2023,"32.28","32.38","31.20","32.12","168,016"
03/09/2023,"32.96","33.27","32.34","32.56","66,317"
03/08/2023,"33.74","33.87","32.60","33.00","69,494"
03/07/2023,"33.22","33.85","33.11","33.77","89,948"
03/06/2023,"33.98","34.03","33.07","33.35","104,321"
03/03/2023,"34.00","34.14","33.63","33.98","60,168"
03/02/2023,"33.72","34.13","33.47","33.88","91,746"
03/01/2023,"33.92","34.51","32.91","33.96","124,000"
02/28/2023,"33.98","34.34","33.74","33.92","114,674"
02/27/2023,"34.40","34.76","33.80","34.02","101,272"
02/24/2023,"35.33","35.33","33.44","34.02","166,891"
02/23/2023,"33.01","35.99","32.80","35.46","258,799"
02/22/2023,"32.94","33.23","32.03","33.01","85,608"
02/21/2023,"33.06","33.71","32.51","32.69","131,290"
02/17/2023,"33.98","34.23","33.39","33.48","90,566"
02/16/2023,"33.85","34.18","33.46","33.85","92,206"
02/15/2023,"32.77","34.32","32.77","34.29","120,927"
02/14/2023,"32.38","32.98","32.31","32.73","77,979"
02/13/2023,"31.66","32.53","31.55","32.50","82,823"
02/10/2023,"30.76","31.71","30.62","31.62","74,754"
02/09/2023,"31.68","31.81","30.65","30.68","73,831"
02/08/2023,"32.13","32.13","31.27","31.40","67,818"
02/07/2023,"32.39","32.39","31.71","32.20","69,844"
02/06/2023,"32.67","32.98","32.17","32.49","124,025"
02/03/2023,"32.34","33.11","32.10","32.66","106,431"
02/02/2023,"32.78","33.09","32.37","32.70","63,643"
02/01/2023,"32.49","32.87","31.85","32.41","76,341"
01/31/2023,"31.22","32.46","31.22","32.42","89,283"
01/30/2023,"31.14","31.35","30.68","31.10","63,426"
01/27/2023,"31.41","31.67","31.19","31.29","39,754"
01/26/2023,"31.00","31.53","30.70","31.49","48,032"
01/25/2023,"30.70","30.85","30.34","30.85","47,721"
01/24/2023,"31.73","31.73","30.71","30.85","98,668"
01/23/2023,"30.72","31.23","30.37","30.65","68,057"
01/20/2023,"30.61","30.77","30.11","30.57","63,509"
01/19/2023,"29.76","30.48","29.51","30.37","52,384"
01/18/2023,"30.76","30.90","30.06","30.11","53,969"
01/17/2023,"30.33","31.24","30.33","30.56","77,564"
01/13/2023,"30.08","30.44","29.80","30.27","74,651"
01/12/2023,"30.72","30.72","30.06","30.21","68,553"
01/11/2023,"30.33","30.75","30.06","30.36","58,068"
01/10/2023,"29.00","30.29","29.00","30.23","62,807"
01/09/2023,"30.09","30.32","29.25","29.27","82,537"
01/06/2023,"29.26","30.30","29.08","30.03","67,423"
01/05/2023,"29.07","29.15","28.35","28.94","139,026"
01/04/2023,"28.72","29.33","28.56","29.13","82,728"
01/03/2023,"27.60","28.62","27.60","28.56","161,646"
